year,playerName,position,batting_order,school
2022,Banjoff, Leighton,RF,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Matthews, Brice,SS,4,Nebraska
2022,Everitt, Griffin,C,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Caron, Josh,DH,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,Perry, Kyle,P,SP,Nebraska
2022,MacKenzie, Anthony,SS,1,Sam Houston
2022,Chadwick, Clayton,CF,2,Sam Houston
2022,Wishkoski, Justin,3B,3,Sam Houston
2022,Contreras, Carlos,LF,4,Sam Houston
2022,Davis, Tyler,1B,5,Sam Houston
2022,Smith, Christian,RF,6,Sam Houston
2022,Touchet, Trent,DH,7,Sam Houston
2022,Janek, Walker,C,8,Sam Houston
2022,Loyd, Easton,2B,9,Sam Houston
2022,Dillard, Matt,P,SP,Sam Houston
2022,Banjoff, Leighton,RF,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Matthews, Brice,SS,4,Nebraska
2022,Everitt, Griffin,C,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Caron, Josh,DH,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,Perry, Kyle,P,SP,Nebraska
2022,MacKenzie, Anthony,SS,1,Sam Houston
2022,Chadwick, Clayton,CF,2,Sam Houston
2022,Wishkoski, Justin,3B,3,Sam Houston
2022,Contreras, Carlos,LF,4,Sam Houston
2022,Davis, Tyler,1B,5,Sam Houston
2022,Smith, Christian,RF,6,Sam Houston
2022,Touchet, Trent,DH,7,Sam Houston
2022,Janek, Walker,C,8,Sam Houston
2022,Loyd, Easton,2B,9,Sam Houston
2022,Dillard, Matt,P,SP,Sam Houston
2022,Banjoff, Leighton,RF,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Matthews, Brice,SS,4,Nebraska
2022,Everitt, Griffin,C,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Jessen, Luke,DH,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Jackson, Core,2B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,MacKenzie, Anthony,SS,1,Sam Houston
2022,Chadwick, Clayton,CF,2,Sam Houston
2022,Wishkoski, Justin,3B,3,Sam Houston
2022,Contreras, Carlos,LF,4,Sam Houston
2022,Davis, Tyler,1B,5,Sam Houston
2022,Loyd, Easton,2B,6,Sam Houston
2022,Touchet, Trent,DH,7,Sam Houston
2022,Folse, Wes,C,8,Sam Houston
2022,Brewster, Lane,RF,9,Sam Houston
2022,Atkinson, Coltin,P,SP,Sam Houston
2022,Banjoff, Leighton,RF/LF,1,Nebraska
